time,susceptible,exposed,infected,recovered,new_exposed,new_infected,new_recovered,deaths,error
120,0.9974929420458968,0.0006348038119175064,0.0006465096049732129,0.0011584698644785355,7.602038018935802e-05,7.474216140741307e-05,6.263272031530293e-05,6.740922207941304e-05,1.0000001345493454
121,0.9974184017085076,0.0006327182970627542,0.0006550534884104239,0.0012231880996485906,7.440578804374334e-05,7.655857757122958e-05,6.465096049732129e-05,7.050385702517451e-05,0.9999998654506547
122,0.9973456105126095,0.0006274708725895064,0.000663597371847635,0.0012895882016369946,7.292574524359654e-05,7.803862037137638e-05,6.626555264293597e-05,7.380031598913783e-05,1.000000067274673
123,0.9972714065485839,0.000621887074752589,0.000672073980612112,0.001357670170443747,7.400214000733967e-05,7.972048718972501e-05,6.801469413401855e-05,7.71640496258351e-05,1.0000002018240182
124,0.997206890137432,0.0006099794576786807,0.0006761104609761488,0.0014262903366323713,6.444913647911946e-05,7.608765486209197e-05,6.8687440861358e-05,8.046050858979841e-05,0.999999730901309
125,0.9971420373529165,0.0005980718406047724,0.000680752413394791,0.001495246876184665,6.512188320645891e-05,7.702950028036719e-05,6.92929129159635e-05,8.409334091743143e-05,1.0000002018240182
126,0.9970770500190556,0.0005869715196036714,0.0006839815976860203,0.0015646743384460963,6.485278451552312e-05,7.622220420755985e-05,6.92929129159635e-05,8.732252520866081e-05,1.0
127,0.9970135427279947,0.000579033108221066,0.0006822997308676718,0.0016345054487439314,6.350729106084422e-05,7.131115309798186e-05,7.00329343160369e-05,9.075353351809201e-05,1.0000001345493454
128,0.9969540719172979,0.0005671254911471576,0.0006792723705946442,0.0017052784044600418,5.9268986678605677e-05,7.117660375251396e-05,7.097477973431214e-05,9.404999248205533e-05,0.9999997981759817
129,0.996895879325383,0.0005553524234187172,0.0006743613194850662,0.0017769932055944273,5.866351462400017e-05,7.030203300697269e-05,7.164752646165159e-05,9.741372611875258e-05,1.0
130,0.9968374176347773,0.0005444539264358181,0.0006669611054843322,0.0018499862255107577,5.846169060579834e-05,6.888926487955984e-05,7.28584705708626e-05,0.00010097928377365167,0.999999798175982
131,0.9967796959655715,0.0005338918028165887,0.0006580135740107175,0.0019239210908453634,5.7654394532990995e-05,6.848561684315616e-05,7.386759066187178e-05,0.0001041411933921471,0.9999996636266364
132,0.9967229161417841,0.0005229933058336896,0.0006484605704824973,0.001998394153561841,5.711619715111943e-05,6.801469413401855e-05,7.427123869827544e-05,0.00010730310301064252,1.0000000672746727
133,0.9966659344939784,0.0005131039289417997,0.0006381675455542037,0.0020720599202055105,5.6577999769247875e-05,6.646737666113781e-05,7.366576664366994e-05,0.00011086866066554161,1.0000001345493454
